Local time,Open,High,Low,Close,Volume
15.10.2021 22:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 02:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 06:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 10:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 14:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 18:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
16.10.2021 22:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
17.10.2021 02:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
17.10.2021 06:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
17.10.2021 10:00:00.000 GMT-0700,1.23697,1.23697,1.23697,1.23697,0
17.10.2021 14:00:00.000 GMT-0700,1.23746,1.23881,1.23491,1.23841,5943.12
17.10.2021 18:00:00.000 GMT-0700,1.23843,1.23974,1.23742,1.23954,7818.4501
17.10.2021 22:00:00.000 GMT-0700,1.23955,1.24103,1.23834,1.24031,13576.5
18.10.2021 02:00:00.000 GMT-0700,1.24035,1.24040,1.23792,1.23961,15852.400099999999
18.10.2021 06:00:00.000 GMT-0700,1.23961,1.24005,1.23512,1.23675,23020.8694
18.10.2021 10:00:00.000 GMT-0700,1.23677,1.23855,1.23669,1.23825,9046.2199
18.10.2021 14:00:00.000 GMT-0700,1.23828,1.23835,1.23641,1.23647,4222.8801
18.10.2021 18:00:00.000 GMT-0700,1.23646,1.23695,1.23423,1.23500,7829.810099999999
18.10.2021 22:00:00.000 GMT-0700,1.23499,1.23507,1.23206,1.23212,13878.55
19.10.2021 02:00:00.000 GMT-0700,1.23217,1.23628,1.23119,1.23559,14634.089899999999
19.10.2021 06:00:00.000 GMT-0700,1.23561,1.23750,1.23481,1.23564,21630.950200000003
19.10.2021 10:00:00.000 GMT-0700,1.23568,1.23701,1.23501,1.23695,9631.3999
19.10.2021 14:00:00.000 GMT-0700,1.23695,1.23695,1.23534,1.23535,5400.3699
19.10.2021 18:00:00.000 GMT-0700,1.23534,1.23630,1.23369,1.23382,11299.3903
19.10.2021 22:00:00.000 GMT-0700,1.23382,1.23580,1.23365,1.23477,15227.4497
20.10.2021 02:00:00.000 GMT-0700,1.23479,1.23602,1.23355,1.23496,14041.1301
20.10.2021 06:00:00.000 GMT-0700,1.23494,1.23632,1.23155,1.23206,21119.940300000002
20.10.2021 10:00:00.000 GMT-0700,1.23205,1.23280,1.23081,1.23217,12543.96
20.10.2021 14:00:00.000 GMT-0700,1.23217,1.23266,1.23155,1.23167,4672.03
20.10.2021 18:00:00.000 GMT-0700,1.23167,1.23236,1.22891,1.23199,12191.439900000001
20.10.2021 22:00:00.000 GMT-0700,1.23196,1.23451,1.23175,1.23357,14384.6499
21.10.2021 02:00:00.000 GMT-0700,1.23356,1.23464,1.23265,1.23278,15199.060099999999
21.10.2021 06:00:00.000 GMT-0700,1.23278,1.23661,1.23131,1.23641,24235.490299999998
21.10.2021 10:00:00.000 GMT-0700,1.23641,1.23844,1.23624,1.23732,11388.8501
21.10.2021 14:00:00.000 GMT-0700,1.23732,1.23756,1.23644,1.23644,5767.06
21.10.2021 18:00:00.000 GMT-0700,1.23643,1.23643,1.23434,1.23537,13672.7398
21.10.2021 22:00:00.000 GMT-0700,1.23536,1.23584,1.23314,1.23350,21615.5498
22.10.2021 02:00:00.000 GMT-0700,1.23352,1.23453,1.23215,1.23345,13452.490099999999
22.10.2021 06:00:00.000 GMT-0700,1.23346,1.23906,1.23252,1.23719,32856.9902
22.10.2021 10:00:00.000 GMT-0700,1.23717,1.23801,1.23625,1.23721,12924.2301
22.10.2021 14:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
22.10.2021 18:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
22.10.2021 22:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 02:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 06:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 10:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 14:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 18:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
23.10.2021 22:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
24.10.2021 02:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
24.10.2021 06:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
24.10.2021 10:00:00.000 GMT-0700,1.23721,1.23721,1.23721,1.23721,0
24.10.2021 14:00:00.000 GMT-0700,1.23736,1.23802,1.23586,1.23625,5772.99
24.10.2021 18:00:00.000 GMT-0700,1.23621,1.23703,1.23437,1.23493,10323.789900000002
24.10.2021 22:00:00.000 GMT-0700,1.23494,1.23663,1.23389,1.23482,15829.4198
25.10.2021 02:00:00.000 GMT-0700,1.23482,1.23753,1.23462,1.23723,15524.2403
25.10.2021 06:00:00.000 GMT-0700,1.23720,1.24007,1.23607,1.23962,22365.4795
25.10.2021 10:00:00.000 GMT-0700,1.23961,1.23967,1.23812,1.23868,9793.3802
25.10.2021 14:00:00.000 GMT-0700,1.23867,1.23882,1.23762,1.23816,4360.6201
25.10.2021 18:00:00.000 GMT-0700,1.23814,1.23861,1.23686,1.23736,10507.8596
25.10.2021 22:00:00.000 GMT-0700,1.23736,1.23944,1.23714,1.23731,13662.5301
26.10.2021 02:00:00.000 GMT-0700,1.23730,1.23759,1.23509,1.23528,11024.210000000001
26.10.2021 06:00:00.000 GMT-0700,1.23526,1.23969,1.23511,1.23920,23835.2305
26.10.2021 10:00:00.000 GMT-0700,1.23920,1.23936,1.23800,1.23922,9072.2099
26.10.2021 14:00:00.000 GMT-0700,1.23922,1.23957,1.23837,1.23911,4822.5801
26.10.2021 18:00:00.000 GMT-0700,1.23910,1.23992,1.23867,1.23883,8164.3902
26.10.2021 22:00:00.000 GMT-0700,1.23884,1.24202,1.23839,1.24195,13454.18
27.10.2021 02:00:00.000 GMT-0700,1.24193,1.24315,1.24029,1.24285,16181.7101
27.10.2021 06:00:00.000 GMT-0700,1.24287,1.24321,1.23010,1.23308,46874.9804
27.10.2021 10:00:00.000 GMT-0700,1.23308,1.23658,1.23174,1.23647,15913.949900000001
27.10.2021 14:00:00.000 GMT-0700,1.23646,1.23731,1.23567,1.23708,7268.910100000001
27.10.2021 18:00:00.000 GMT-0700,1.23707,1.23801,1.23683,1.23754,12221.800100000002
27.10.2021 22:00:00.000 GMT-0700,1.23757,1.23832,1.23655,1.23713,18033.3902
28.10.2021 02:00:00.000 GMT-0700,1.23711,1.23745,1.23515,1.23688,22798.1602
28.10.2021 06:00:00.000 GMT-0700,1.23684,1.23722,1.23304,1.23563,37570.270000000004
28.10.2021 10:00:00.000 GMT-0700,1.23562,1.23582,1.23388,1.23490,18697.5601
28.10.2021 14:00:00.000 GMT-0700,1.23490,1.23608,1.23417,1.23574,6507.6
28.10.2021 18:00:00.000 GMT-0700,1.23573,1.23637,1.23442,1.23530,9355.3798
28.10.2021 22:00:00.000 GMT-0700,1.23529,1.23644,1.23356,1.23579,14994.3901
29.10.2021 02:00:00.000 GMT-0700,1.23579,1.23938,1.23283,1.23830,19765.3191
29.10.2021 06:00:00.000 GMT-0700,1.23835,1.24089,1.23723,1.23960,36831.7299
29.10.2021 10:00:00.000 GMT-0700,1.23958,1.23979,1.23713,1.23939,14759.369900000002
29.10.2021 14:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
29.10.2021 18:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
29.10.2021 22:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 02:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 06:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 10:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 14:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 18:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
30.10.2021 22:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
31.10.2021 02:00:00.000 GMT-0700,1.23939,1.23939,1.23939,1.23939,0
